,Astro,Endo,ODC,OPC
chr6_152230000_152590000,0.9956064900820067,0.9728831961157847,0.9927649873228306,0.9932601381196982
chr5_41480000_41840000,0.9942734699345286,0.9721574661780835,0.9940882094467507,0.990186416166661
chr21_20260000_20500000,0.9941572751518701,0.9750589779512404,0.9957973517763887,0.9851353330498384
chr2_176640000_176840000,0.9947546313155259,0.9577201119588665,0.9944690451657671,0.9879183126710787
chr4_69390000_69680000,0.9904310236636202,0.9283863127065076,0.9910934954477801,0.987036310551406
chr13_71100000_71370000,0.9903108465119808,0.9361322112914585,0.9925303319585635,0.9892264681107423
chr17_14790000_15060000,0.9927884537209499,0.9611420931233547,0.9950569862499608,0.9894135334702616
chr20_51150000_51590000,0.9934662557082369,0.9689415228455287,0.993916345491105,0.9897353387021802
chr14_50770000_50990000,0.9938365396943144,0.978310478655549,0.9938900595511282,0.9904450432631121
chr1_227020000_227410000,0.9944466206090398,0.9652102880470848,0.9940846124837697,0.9912542699142507
chr12_118040000_118290000,0.9940574381685133,0.984363579778757,0.9949291887667794,0.994342593458884
chr7_70290000_70540000,0.9940317010469056,0.9763807380986099,0.9945146786165259,0.99387492838975
